id,name,url,slug,twitterUsername,isLive,createdAt,updatedAt
UCupvZG-5ko_eiXAupbDfxWw,"CNN",https://www.youtube.com/@cnn,@cnn,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UC9xkc8dWgBsFfC7DOJfJLFg,"The 92nd Street Y, New York",https://www.youtube.com/channel/UC9xkc8dWgBsFfC7DOJfJLFg,@92ny,,true,2025-03-13T13:54:02.379Z,2025-03-13T13:54:02.379Z
UCrp_UI8XtuYfpiqluWLD7Lw,"CNBC television",https://www.youtube.com/@CNBCtelevision,@cnbctelevision,dcsan,true,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z
UCBkGMys0mYl3Myxh3CTsASA,"MMCryptoTube",https://www.youtube.com/@MMCryptoTube,@mmcryptotube,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UCWQQLP0GR5Hhk2VE5wW1-pg,"Decent Crypto Podcast",https://www.youtube.com/@decentcryptopodcast,@decentcryptopodcast,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UCYWsYz5cKw4wZ9Mpe4kuM_g,"Zero Knowledge",https://www.youtube.com/channel/UCYWsYz5cKw4wZ9Mpe4kuM_g,@zeroknowledgefm,,true,2025-03-30T22:11:44.746Z,2025-03-30T22:11:44.746Z
UCXUPKJO5MZQN11PqgIvyuvQ,"Andrej Karpathy",https://www.youtube.com/channel/UCXUPKJO5MZQN11PqgIvyuvQ,@andrejkarpathy,,true,2025-03-03T00:50:58.515Z,2025-03-03T00:50:58.515Z
UC2UXDak6o7rBm23k3Vv5dww,"Tina Huang",https://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,@tinahuang1,,true,2025-04-17T19:05:45.782Z,2025-04-17T19:05:45.782Z
UCu9LHpTCFZvejRnzlGh3A_Q,"Rinat Shahmetov Live",https://www.youtube.com/channel/UCu9LHpTCFZvejRnzlGh3A_Q,@rinatlive,,true,2025-03-03T02:54:23.771Z,2025-03-03T02:54:23.771Z
UCAl9Ld79qaZxp9JzEOwd3aA,"Bankless",https://www.youtube.com/@Bankless,@bankless,dcsan,true,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z
UCXIJgqnII2ZOINSWNOGFThA,"Fox News",https://www.youtube.com/@foxnews,@foxnews,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UCnRVL1-HJnXWB_Xi2dAoTcg,"Bryan Johnson",https://www.youtube.com/@BryanJohnson,@bryanjohnson,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UCJnS2EsPfv46u1JR8cnD0NA,"NPR",https://www.youtube.com/channel/UCJnS2EsPfv46u1JR8cnD0NA,@npr,,true,2025-04-09T05:14:10.568Z,2025-04-09T05:14:10.568Z
UCkNsANayKfsdXFXHpBm8LQg,"Kleiner Perkins",https://www.youtube.com/channel/UCkNsANayKfsdXFXHpBm8LQg,@kleinerperkinsvideos,,true,2025-04-19T06:21:33.767Z,2025-04-19T06:21:33.767Z
UCyaN6mg5u8Cjy2ZI4ikWaug,"My First Million",https://www.youtube.com/channel/UCyaN6mg5u8Cjy2ZI4ikWaug,@myfirstmillionpod,,true,2025-04-19T13:09:48.118Z,2025-04-19T13:09:48.118Z
UCB6s-V1Ls4vc_mXEF-4Lz_Q,"Arvid Kahl — The Bootstrapped Founder",https://www.youtube.com/@TheBootstrappedFounder,@thebootstrappedfounder,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UC7kjWIK1H8tfmFlzZO-wHMw,"Twimlai",https://www.youtube.com/@twimlai,@twimlai,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UCMbtqTGdSsxYYhhTpV4lSTQ,"Super Data Science: ML & AI Podcast with Jon Krohn",https://www.youtube.com/channel/UCMbtqTGdSsxYYhhTpV4lSTQ,@superdatasciencewithjonkrohn,,true,2025-04-19T08:17:04.722Z,2025-04-19T08:17:04.722Z
UCf6AGqO98eGk11nfazociVQ,"ByteGrad",https://www.youtube.com/channel/UCf6AGqO98eGk11nfazociVQ,@bytegrad,,true,2025-04-20T19:34:13.322Z,2025-04-20T19:34:13.322Z
UC79Gv3mYp6zKiSwYemEik9A,"DataCamp",https://www.youtube.com/channel/UC79Gv3mYp6zKiSwYemEik9A,@datacamp,,true,2025-04-19T07:57:02.217Z,2025-04-19T07:57:02.217Z
UCXl4i9dYBrFOabk0xGmbkRA,"Dwarkesh Patel",https://www.youtube.com/channel/UCXl4i9dYBrFOabk0xGmbkRA,@dwarkeshpatel,,true,2025-04-20T05:36:38.286Z,2025-04-20T05:36:38.286Z
UCP7jMXSY2xbc3KCAE0MHQ-A,"Google DeepMind",https://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A,@googledeepmind,,true,2025-04-19T08:04:35.714Z,2025-04-19T08:04:35.714Z
UCyU5wkjgQYGRB0hIHMwm2Sg,"Syntax",https://www.youtube.com/channel/UCyU5wkjgQYGRB0hIHMwm2Sg,@syntaxfm,,true,2025-04-16T14:40:38.659Z,2025-04-16T14:40:38.659Z
UC9cn0TuPq4dnbTY-CBsm8XA,"a16z",https://www.youtube.com/channel/UC9cn0TuPq4dnbTY-CBsm8XA,@a16z,,true,2025-04-16T07:33:10.583Z,2025-04-16T07:33:10.583Z
UC3XrWeEDHIHomiDZ1gSV38g,"Navek",https://www.youtube.com/channel/UC3XrWeEDHIHomiDZ1gSV38g,@navekeng,,true,2025-04-02T15:02:36.726Z,2025-04-02T15:02:36.726Z
UCLKPca3kwwd-B59HNr-_lvA,"AI Engineer",https://www.youtube.com/@aiengineer,@aidotengineer,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UCLtTf_uKt0Itd0NG7txrwXA,"The Knowledge Project Podcast",https://www.youtube.com/@tkppodcast,@tkppodcast,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UCYO_jab_esuFRV4b17AJtAw,"3Blue1Brown",https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,@3blue1brown,,true,2025-03-03T00:22:05.053Z,2025-03-03T00:22:05.053Z
UC8Dakb6zA4KDEzHx_rYqzxQ,"Design Details",https://www.youtube.com/channel/UC8Dakb6zA4KDEzHx_rYqzxQ,@designdetails2540,,true,2025-07-27T09:58:32.355Z,2025-07-27T09:58:32.355Z
UCujMOyMfjf4hvYn7aRe1JEQ,"Everyday AI",https://www.youtube.com/channel/UCujMOyMfjf4hvYn7aRe1JEQ,@everydayai_,,true,2025-04-19T07:32:03.252Z,2025-04-19T07:32:03.252Z
